MT074461	p__Uroviricota;c__Caudoviricetes;o__Demerecviridae;f__Demerecviridae;g__Epseptimavirus;s__Epseptimavirus smaug
ON081052	p__Uroviricota;c__Caudoviricetes;o__Drexlerviridae;f__Drexlerviridae;g__Guelphvirus;s__Guelphvirus SCS31
KJ010489	p__Uroviricota;c__Caudoviricetes;o__Efemunavirus;f__Efemunavirus;g__Efemunavirus;s__Efemunavirus Efm1
OP072491	p__Uroviricota;c__Caudoviricetes;o__Umezonoviridae;f__Umezonoviridae;g__Namikivirus;s__Namikivirus usui
ON724010	p__Uroviricota;c__Caudoviricetes;o__Amherstvirus;f__Amherstvirus;g__Amherstvirus;s__Amherstvirus pineapplepizza
MN062187	p__Uroviricota;c__Caudoviricetes;o__Septimatrevirus;f__Septimatrevirus;g__Septimatrevirus;s__Septimatrevirus samson
OP072486	p__Uroviricota;c__Caudoviricetes;o__Umezonoviridae;f__Umezonoviridae;g__Namikivirus;s__Namikivirus akeshi
OP031115	p__Uroviricota;c__Caudoviricetes;o__Umezonoviridae;f__Umezonoviridae;g__Namikivirus;s__Namikivirus tushida
ON809560	p__Uroviricota;c__Caudoviricetes;o__Sircambvirus;f__Sircambvirus;g__Sircambvirus;s__Sircambvirus pKp383
ON185589	p__Uroviricota;c__Caudoviricetes;o__Drexlerviridae;f__Drexlerviridae;g__Hanrivervirus;s__Hanrivervirus EC147
ON042750	p__Uroviricota;c__Caudoviricetes;o__Salasmaviridae;f__Salasmaviridae;g__Bahkauvirus;s__Bahkauvirus chedec
ON191532	p__Uroviricota;c__Caudoviricetes;o__Mboquatrovirus;f__Mboquatrovirus;g__Mboquatrovirus;s__Mboquatrovirus Mbo4
OP018674	p__Uroviricota;c__Caudoviricetes;o__Efemunavirus;f__Efemunavirus;g__Efemunavirus;s__Efemunavirus Lg62
MH791397	p__Uroviricota;c__Caudoviricetes;o__Herelleviridae;f__Herelleviridae;g__Schiekvirus;s__Schiekvirus Efsszw1
OK108608	p__Uroviricota;c__Caudoviricetes;o__Jerseyvirus;f__Jerseyvirus;g__Jerseyvirus;s__Jerseyvirus S528
OX460980	p__Uroviricota;c__Caudoviricetes;o__Vequintavirus;f__Vequintavirus;g__Vequintavirus;s__Vequintavirus Aya
MT894004	p__Uroviricota;c__Caudoviricetes;o__Sircambvirus;f__Sircambvirus;g__Sircambvirus;s__Sircambvirus MEW1
OM982620	p__Uroviricota;c__Caudoviricetes;o__Kremarvirus;f__Kremarvirus;g__Kremarvirus;s__Kremarvirus kremar
MZ501097	p__Uroviricota;c__Caudoviricetes;o__Dhillonvirus;f__Dhillonvirus;g__Dhillonvirus;s__Dhillonvirus paulfeyerabend
MZ398021	p__Uroviricota;c__Caudoviricetes;o__Ringroadvirus;f__Ringroadvirus;g__Ringroadvirus;s__Ringroadvirus BUCT47333
MT701592	p__Uroviricota;c__Caudoviricetes;o__Drexlerviridae;f__Drexlerviridae;g__Webervirus;s__Webervirus solomon
OP031048	p__Uroviricota;c__Caudoviricetes;o__Umezonoviridae;f__Umezonoviridae;g__Namikivirus;s__Namikivirus takura
MF140423	p__Uroviricota;c__Caudoviricetes;o__Gordonvirus;f__Gordonvirus;g__Gordonvirus;s__Gordonvirus nightmare
DQ003637	p__Uroviricota;c__Caudoviricetes;o__Aquingentivirus;f__Aquingentivirus;g__Aquingentivirus;s__Aquingentivirus A500
ON529854	p__Uroviricota;c__Caudoviricetes;o__Mesyanzhinovviridae;f__Mesyanzhinovviridae;g__Donnerlittchenvirus;s__Donnerlittchenvirus donnerlittchenvirus
OP072867	p__Uroviricota;c__Caudoviricetes;o__Umezonoviridae;f__Umezonoviridae;g__Namikivirus;s__Namikivirus sakae
OP072408	p__Uroviricota;c__Caudoviricetes;o__Umezonoviridae;f__Umezonoviridae;g__Namikivirus;s__Namikivirus tsukuho
MT856905	p__Uroviricota;c__Caudoviricetes;o__Herelleviridae;f__Herelleviridae;g__Schiekvirus;s__Schiekvirus A2
MN586033	p__Uroviricota;c__Caudoviricetes;o__Emirosevirus;f__Emirosevirus;g__Emirosevirus;s__Emirosevirus emirose
OP072766	p__Uroviricota;c__Caudoviricetes;o__Umezonoviridae;f__Umezonoviridae;g__Namikivirus;s__Namikivirus wadai
MT080103	p__Uroviricota;c__Caudoviricetes;o__Demerecviridae;f__Demerecviridae;g__Tequintavirus;s__Tequintavirus ECOP18
ON932084	p__Uroviricota;c__Caudoviricetes;o__Mesyanzhinovviridae;f__Mesyanzhinovviridae;g__Bosavirus;s__Bosavirus Doca10
ON366410	p__Uroviricota;c__Caudoviricetes;o__Layangavirus;f__Layangavirus;g__Layangavirus;s__Layangavirus LY1
KU204984	p__Uroviricota;c__Caudoviricetes;o__Mesyanzhinovviridae;f__Mesyanzhinovviridae;g__Pamexvirus;s__Pamexvirus AAT1
OP590147	p__Uroviricota;c__Caudoviricetes;o__Saffermanviridae;f__Saffermanviridae;g__Wumptrevirus;s__Wumptrevirus LPP2
MH424444	p__Uroviricota;c__Caudoviricetes;o__Cornellvirus;f__Cornellvirus;g__Cornellvirus;s__Cornellvirus VSiP
MN070121	p__Uroviricota;c__Caudoviricetes;o__Cornellvirus;f__Cornellvirus;g__Cornellvirus;s__Cornellvirus shemara
MT653143	p__Uroviricota;c__Caudoviricetes;o__Demerecviridae;f__Demerecviridae;g__Tequintavirus;s__Tequintavirus tv3sent1
MN234170	p__Uroviricota;c__Caudoviricetes;o__Malagasyrosevirus;f__Malagasyrosevirus;g__Malagasyrosevirus;s__Malagasyrosevirus malagasyrose
