species_taxid	superkingdom	max_cov	max_uniq_minimizers	kept
1868170	10239	0.04523934771173067	86	False
1465613	10239	0.0657439446366782	19	False
1465618	10239	0.07820299500831947	47	False
2005700	10239	0.044741235392320534	134	False
2005691	10239	0.04222266480780721	212	False
2005702	10239	0.06203931203931204	101	False
2005696	10239	0.005876370211323314	52	False
1981032	10239	0.017717717717717716	59	False
2005695	10239	0.07647058823529412	26	False
2005693	10239	0.008483252888693872	58	False
2005699	10239	0.008064516129032258	17	False
2005698	10239	0.002971366828741221	22	False
2005701	10239	0.016630901287553648	31	False
4036992	10239	0.004279131007241606	13	False
