species_taxid	superkingdom	max_cov	max_uniq_minimizers	kept
4019032	10239	0.07317592001701766	344	False
4017346	10239	0.024316619151433842	145	False
4018490	10239	0.030408340573414423	140	False
4018557	10239	0.013534781240163676	86	False
4012696	10239	0.021520402459474567	77	False
4018158	10239	0.022039757994814176	102	False
4018747	10239	0.014885259458341947	72	False
4018858	10239	0.004169562195969423	24	False
4010486	10239	0.023043160204828092	63	False
4018801	10239	0.016407599309153715	76	False
4018169	10239	0.006369426751592357	39	False
4018287	10239	0.005301794453507341	39	False
