species_taxid	superkingdom	max_cov	max_uniq_minimizers	kept
1720498	10239	0.07205067300079177	364	False
1883202	10239	0.05606758832565284	219	False
1883200	10239	0.05108827085852479	169	False
1981027	10239	0.038581207218419414	186	False
1954380	10239	0.04929577464788732	280	False
624134	10239	0.03673047077082255	142	False
1954379	10239	0.02763448784082535	150	False
1954378	10239	0.015998623774298986	93	False
1981026	10239	0.025257840454641127	120	False
1245890	10239	0.01663432215137233	60	False
4037103	10239	0.040246673158065564	248	False
4036913	10239	0.02344804318488529	139	False
4035994	10239	0.03300427287461323	224	False
4036641	10239	0.043993571715548414	219	False
2734027	10239	0.002110595187842972	10	False
