problem_phrog	count_otu_tables	median_microbial_readcount	total_microbial_readcount
phrog_418	1	3.0	3
phrog_458	1	9.0	9
phrog_561	1	11.0	11
phrog_684	1	4.0	4
phrog_992	1	4.0	4
phrog_1640	1	8.0	8
phrog_6417	3	1.0	3
phrog_9522	1	6.0	6
phrog_253	10	4.5	52
phrog_501	9	3.0	35
phrog_801	2	5.0	10
phrog_849	7	7.0	50
phrog_1879	2	7.0	14
phrog_13571	2	1.5	3
phrog_342	1	1.0	1
phrog_805	3	7.0	19
phrog_920	3	6.0	19
phrog_945	3	6.0	19
phrog_1052	4	5.5	26
phrog_1891	4	2.0	9
phrog_64	6	4.0	26
phrog_132	4	2.5	10
phrog_183	4	3.0	12
phrog_1992	5	5.0	29
phrog_3017	1	1.0	1
phrog_280	2	3.0	6
phrog_339	3	4.0	12
phrog_606	4	5.0	27
phrog_939	2	5.0	10
phrog_2712	3	5.0	18
phrog_72	7	6.0	38
phrog_396	3	5.0	18
phrog_1407	1	2.0	2
phrog_659	2	5.5	11
phrog_1421	2	5.5	11
phrog_1428	2	8.0	16
phrog_2391	1	1.0	1
phrog_2882	2	8.0	16
phrog_3791	2	6.0	12
phrog_842	5	5.0	23
phrog_16194	1	5.0	5
phrog_372	6	4.0	25
phrog_608	1	8.0	8
phrog_756	3	2.0	9
phrog_1110	2	8.0	16
phrog_2729	1	4.0	4
phrog_2739	1	6.0	6
phrog_2765	6	4.0	23
phrog_3267	2	5.5	11
phrog_5909	5	4.0	24
phrog_6123	1	8.0	8
phrog_7299	1	6.0	6
phrog_9516	2	7.0	14
phrog_5757	3	7.0	19
phrog_1197	4	5.5	21
phrog_3270	1	8.0	8
phrog_4247	1	10.0	10
phrog_4291	1	5.0	5
phrog_4321	1	12.0	12
phrog_4372	1	2.0	2
phrog_6468	2	7.5	15
phrog_12939	2	8.5	17
phrog_220	1	1.0	1
phrog_33	2	3.0	6
phrog_434	3	3.0	10
phrog_1067	3	5.0	15
phrog_1129	4	1.0	5
phrog_2343	2	4.5	9
phrog_5774	2	6.0	12
phrog_1533	5	4.0	18
phrog_258	3	8.0	23
phrog_742	3	6.0	20
phrog_1786	2	3.0	6
phrog_4880	4	6.5	28
phrog_180	2	3.5	7
phrog_226	8	7.0	59
phrog_404	5	6.0	27
phrog_553	4	8.5	34
phrog_1522	3	6.0	19
phrog_1568	4	4.0	14
phrog_1686	5	5.0	22
phrog_2012	4	7.0	27
phrog_3290	1	6.0	6
phrog_19179	5	4.0	23
phrog_26	4	5.0	24
phrog_46	4	3.0	14
phrog_52	4	4.5	18
phrog_65	5	6.0	22
phrog_68	4	6.0	24
phrog_73	4	4.5	23
phrog_76	4	7.0	26
phrog_91	4	5.5	25
phrog_103	3	7.0	17
phrog_136	3	7.0	20
phrog_175	3	2.0	6
phrog_265	2	6.5	13
phrog_381	3	9.0	27
phrog_952	2	8.0	16
phrog_1756	3	7.0	22
phrog_5751	3	12.0	28
phrog_6202	3	4.0	13
phrog_9992	4	5.5	29
phrog_24494	3	6.0	21
phrog_53	3	7.0	21
phrog_3753	1	6.0	6
