species_taxid	superkingdom	max_cov	max_uniq_minimizers	kept
1002724	10239	0.0650887573964497	484	False
1921005	10239	0.06268958543983821	248	False
1921008	10239	0.03639648941662364	141	False
2734026	10239	0.03585185185185185	121	False
2734023	10239	0.05922551252847381	104	False
2608316	10239	0.030663329161451813	98	False
2560763	10239	0.05706666666666667	107	False
2844185	10239	0.02123085192152647	79	False
2734021	10239	0.01856353591160221	84	False
2734027	10239	0.019839594765723934	94	False
2734022	10239	0.012048192771084338	49	False
1921004	10239	0.016849015317286654	77	False
2049887	10239	0.02102950408035154	67	False
2049888	10239	0.009640666082383873	11	False
2734024	10239	0.0032199205752924762	30	False
4018210	10239	0.028147501636482653	129	False
