species_taxid	superkingdom	max_cov	max_uniq_minimizers	kept
4018557	10239	0.018570978910922253	118	False
4018169	10239	0.01992487342805814	122	False
4018562	10239	0.012350230414746545	67	False
4010486	10239	0.018288222384784197	50	False
4018490	10239	0.011294526498696786	52	False
4019226	10239	0.012365911799761622	83	False
4019028	10239	0.012768817204301076	76	False
4018285	10239	0.005008077544426494	31	False
4018747	10239	0.01219764316725243	59	False
4018801	10239	0.013385146804835924	62	False
