accession	coverage	fasta	taxonomy
IMGVR_UViG_3300029618_000294	10.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_3300029618_000294.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__IMGVR_UViG_3300029618_000294;f__IMGVR_UViG_3300029618_000294;g__IMGVR_UViG_3300029618_000294;s__IMGVR_UViG_3300029618_000294
IMGVR_UViG_2832985738_000003	1000.0	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/ictv-imgvr/genomes/IMGVR_UViG_2832985738_000003.fa	d__Viruses;p__Uroviricota;c__Caudoviricetes;o__IMGVR_UViG_2832985738_000003;f__IMGVR_UViG_2832985738_000003;g__IMGVR_UViG_2832985738_000003;s__IMGVR_UViG_2832985738_000003
