species_taxid	superkingdom	max_cov	max_uniq_minimizers	kept
2732027	10239	0.01860700174584214	405	False
2732031	10239	0.08823529411764706	108	False
2732026	10239	0.06736353077816493	58	False
2732021	10239	0.023154848046309694	64	False
2732023	10239	0.018395503321410323	72	False
2846117	10239	0.007559848803023939	18	False
2732029	10239	0.012489108335753703	43	False
2732033	10239	0.010802469135802469	21	False
2732024	10239	0.0074682598954443615	10	False
2846137	10239	0.017592592592592594	19	False
2732034	10239	0.00612780857893201	63	False
2846085	10239	0.012209080503624571	32	False
2732028	10239	0.01037037037037037	28	False
2732020	10239	0.013855898653998416	35	False
2846124	10239	0.0169045830202855	45	False
2733988	10239	0.030740276035131745	245	False
2733983	10239	0.01806258628624022	157	False
10707	10239	0.05025399129172714	277	False
2733981	10239	0.020077720207253884	93	False
10726	10239	0.012914961346066393	142	False
2844232	10239	0.011538461538461539	54	False
2844254	10239	0.00527027027027027	39	False
2844203	10239	0.011747896491506588	74	False
2712970	10239	0.010437051532941943	48	False
2846093	10239	0.0036321611358758462	22	False
1982564	10239	0.002914743745445713	24	False
2846099	10239	0.00209351011863224	15	False
2733993	10239	0.005758637956935403	23	False
2733985	10239	0.003989920201595968	19	False
2733986	10239	0.004084014002333722	21	False
352889	10239	0.002270577105014191	12	False
1112008	10239	0.007326661901358113	41	False
2732036	10239	0.003979385478504795	122	False
