species_taxid	superkingdom	max_cov	max_uniq_minimizers	kept
2844203	10239	0.056199396729639625	354	False
1112008	10239	0.05092923516797713	285	False
2733990	10239	0.034840622683469234	282	False
2608320	10239	0.06052707790327252	209	False
2712970	10239	0.062187432050445746	286	False
2844232	10239	0.03974358974358974	186	False
2733991	10239	0.013645867723120942	124	False
2733985	10239	0.02372952540949181	113	False
2733981	10239	0.020077720207253884	93	False
1982564	10239	0.01712411950449356	141	False
2733989	10239	0.021287509617850732	83	False
2733987	10239	0.011326860841423949	49	False
2846093	10239	0.01337295690936107	81	False
2844254	10239	0.015675675675675675	116	False
2846119	10239	0.02037554934079105	51	False
2712977	10239	0.008388900838890084	39	False
2733988	10239	0.008155583437892095	65	False
10707	10239	0.010341074020319304	57	False
2733986	10239	0.020031116297160638	103	False
2733992	10239	0.01285240464344942	31	False
2733993	10239	0.013019529293940912	52	False
2712979	10239	0.00913900913900914	57	False
2049893	10239	0.015139226818058935	56	False
352889	10239	0.01097445600756859	58	False
10726	10239	0.005366075488858572	59	False
2712971	10239	0.006562910181886368	35	False
2592163	10239	0.010317460317460317	52	False
1945575	10239	0.013195639701663799	23	False
2732035	10239	0.00856878184344604	37	False
2732034	10239	0.0011672016340822876	12	False
1540099	10239	0.008289124668435014	25	False
2732023	10239	0.005876341338783853	23	False
