species_taxid	superkingdom	max_cov	max_uniq_minimizers	kept
1954379	10239	0.03629329403095063	197	False
624134	10239	0.047335747542679774	183	False
1981026	10239	0.04167543675015786	198	False
1720498	10239	0.024346793349168647	123	False
1883200	10239	0.013905683192261185	46	False
1954378	10239	0.026664372957164974	155	False
1981027	10239	0.02281684297863514	110	False
1245890	10239	0.03299140560022179	119	False
4035994	10239	0.031383527331663476	213	False
4036641	10239	0.04600241060666935	229	False
4036913	10239	0.020242914979757085	120	False
4037103	10239	0.013956507627393703	86	False
