species_taxid	superkingdom	max_cov	max_uniq_minimizers	kept
1883200	10239	0.045949214026602174	152	False
1720498	10239	0.028701504354711006	145	False
1883202	10239	0.01715309779825909	67	False
1981026	10239	0.0492527888865502	234	False
1954380	10239	0.03450704225352113	196	False
1981027	10239	0.041900020742584525	202	False
1954379	10239	0.019344141488577746	105	False
624134	10239	0.029487842731505433	114	False
1954378	10239	0.028212626870806813	164	False
1245890	10239	0.02273357360687552	82	False
4035994	10239	0.02593192868719611	176	False
4036641	10239	0.0413820811570912	206	False
4037103	10239	0.023044466082440766	142	False
4036913	10239	0.02058029689608637	122	False
