species_taxid	superkingdom	max_cov	max_uniq_minimizers	kept
4019032	10239	0.06530525420123379	307	False
4018490	10239	0.05668983492615117	261	False
4018801	10239	0.05094991364421416	236	False
4019226	10239	0.013259833134684148	89	False
4018158	10239	0.026361279170267933	122	False
4018115	10239	0.009796645391123645	66	False
4018169	10239	0.0039196472317491425	24	False
4012696	10239	0.029066517607602014	104	False
4018747	10239	0.017572875749431466	85	False
4018562	10239	0.013640552995391705	74	False
4017346	10239	0.010229750125775617	61	False
